iter	Passed	Remaining
464	775	892
465	777	891
466	779	889
467	781	888
468	783	886
469	784	884
470	786	883
471	788	881
472	790	880
473	792	879
474	794	877
475	796	876
476	798	875
477	800	873
478	802	872
479	803	870
480	805	869
481	807	867
482	809	866
483	811	864
484	812	862
485	814	861
486	816	859
487	817	857
488	819	855
489	820	854
490	822	852
491	824	850
492	825	849
493	827	847
494	828	845
495	830	843
496	832	842
497	833	840
498	835	839
499	837	837
500	839	835
501	840	834
502	842	832
503	844	830
504	845	829
505	847	827
506	848	825
507	850	823
508	851	821
509	853	819
510	854	817
511	856	816
512	857	814
513	859	812
514	860	810
515	862	808
516	863	807
517	865	805
518	867	803
519	868	802
520	870	800
521	872	798
522	873	797
523	875	795
524	876	793
525	878	791
526	880	789
527	881	788
528	883	786
529	885	785
530	887	784
531	889	782
532	891	780
533	893	779
534	895	778
535	897	776
536	898	774
537	900	773
538	901	771
539	903	769
540	904	767
541	906	766
542	908	764
543	910	762
544	911	761
545	913	759
546	915	757
547	916	756
548	918	754
549	919	752
550	921	750
551	922	748
552	924	746
553	925	745
554	927	743
555	929	741
556	930	740
557	932	738
558	933	736
559	935	734
560	936	733
561	938	731
562	939	729
563	941	727
564	943	726
565	945	724
566	946	723
567	948	721
568	949	719
569	951	717
570	953	716
571	954	714
572	955	712
573	957	710
574	959	708
575	961	707
576	962	705
577	964	704
578	966	702
579	967	700
580	969	699
581	971	697
582	973	696
583	977	696
584	979	694
585	981	693
586	983	692
587	985	690
588	987	688
589	989	687
590	990	685
591	992	684
592	994	682
593	996	681
594	998	679
595	1000	678
596	1002	676
597	1004	675
598	1006	673
599	1008	672
600	1010	671
601	1012	669
602	1014	667
603	1016	666
604	1018	665
605	1021	663
606	1024	663
607	1026	662
608	1030	661
609	1032	659
610	1034	658
611	1035	656
612	1041	657
613	1044	656
614	1048	656
615	1052	656
616	1054	654
617	1058	654
618	1060	652
619	1062	651
620	1065	650
621	1068	649
622	1070	647
623	1072	646
624	1074	644
625	1078	644
626	1081	643
627	1083	641
628	1084	639
629	1086	638
630	1088	636
631	1089	634
632	1091	632
633	1092	630
634	1094	628
635	1095	627
636	1097	625
637	1099	623
638	1100	621
639	1102	619
640	1104	618
641	1105	616
642	1107	614
643	1109	613
644	1110	611
645	1112	609
646	1113	607
647	1115	605
648	1116	604
649	1118	602
650	1120	600
651	1121	598
652	1123	596
653	1124	595
654	1126	593
655	1127	591
656	1129	589
657	1131	587
658	1132	586
659	1134	584
660	1136	582
661	1137	580
662	1139	579
663	1141	577
664	1142	575
665	1144	573
666	1145	572
667	1147	570
668	1148	568
669	1150	566
670	1152	564
671	1153	563
672	1155	561
673	1156	559
674	1158	557
675	1159	555
676	1161	553
677	1162	552
678	1164	550
679	1165	548
680	1167	546
681	1168	545
682	1170	543
683	1171	541
684	1173	539
685	1174	537
686	1176	535
687	1177	534
688	1179	532
689	1180	530
690	1182	528
691	1183	526
692	1185	525
693	1186	523
694	1188	521
695	1190	519
696	1191	517
697	1193	516
698	1194	514
699	1196	512
700	1197	510
701	1199	509
702	1200	507
703	1202	505
704	1203	503
705	1205	501
706	1206	500
707	1208	498
708	1210	496
709	1211	494
710	1213	493
711	1215	491
712	1216	489
713	1218	487
714	1219	486
715	1221	484
716	1223	482
717	1224	481
718	1226	479
719	1227	477
720	1229	475
721	1231	474
722	1232	472
723	1234	470
724	1235	468
725	1237	466
726	1238	465
727	1240	463
728	1241	461
729	1243	459
730	1245	458
731	1246	456
732	1248	454
733	1250	453
734	1251	451
735	1253	449
736	1254	447
737	1256	445
738	1257	444
739	1259	442
740	1260	440
741	1262	438
742	1264	437
743	1265	435
744	1267	433
745	1268	431
746	1270	430
747	1273	428
748	1274	427
749	1275	425
750	1277	423
751	1279	421
752	1280	420
753	1282	418
754	1284	416
755	1286	415
756	1287	413
757	1289	411
758	1291	410
759	1293	408
760	1295	406
761	1297	405
762	1299	403
763	1300	401
764	1302	400
765	1304	398
766	1305	396
767	1307	394
768	1308	393
769	1310	391
770	1312	389
771	1314	388
772	1315	386
773	1317	384
774	1319	383
775	1321	381
776	1323	379
777	1325	378
778	1327	376
779	1329	375
780	1332	373
