iter	RMSE
0	0.3878266319
1	0.3767935664
2	0.3661373013
3	0.3560755988
4	0.3469954477
5	0.3369676273
6	0.3276376354
7	0.3189355731
8	0.3101380034
9	0.3025572551
10	0.2950509833
11	0.2887684373
12	0.2818962842
13	0.2750208081
14	0.2684849926
15	0.2628531985
16	0.2572077629
17	0.2511742357
18	0.2461301923
19	0.2407451519
20	0.2359912387
21	0.2312845442
22	0.2268177185
23	0.2220183995
24	0.2177673329
25	0.2137537476
26	0.209449394
27	0.2059176912
28	0.2026222379
29	0.1987385629
30	0.1953102677
31	0.1921151402
32	0.1890027329
33	0.1860805566
34	0.1834253014
35	0.1809028465
36	0.1785181612
37	0.1760163953
38	0.1736255077
39	0.171567708
40	0.1691516582
41	0.1671797269
42	0.1651723169
43	0.1632466666
44	0.1612893161
45	0.1596138546
46	0.1578415399
47	0.1561080407
48	0.1545748859
49	0.1530946235
50	0.151713631
51	0.1502667402
52	0.1488528515
53	0.1476277202
54	0.1463089623
55	0.1451026895
56	0.1437052684
57	0.1425695084
58	0.1414526206
59	0.1402825288
60	0.1391385448
61	0.1382873991
62	0.1372646068
63	0.1362136536
64	0.1354699379
65	0.1346923647
66	0.1338217041
67	0.1331033862
68	0.1322670016
69	0.131402013
70	0.130654103
71	0.1298836994
72	0.1291645266
73	0.1283344906
74	0.1277139461
75	0.1270074438
76	0.1262667748
77	0.1254884781
78	0.1249027229
79	0.1242843334
80	0.1236007007
81	0.1228549512
82	0.122420901
83	0.1219047903
84	0.121402708
85	0.120952169
86	0.120418228
87	0.1198965024
88	0.1193411071
89	0.1188530666
90	0.1183627008
91	0.1179816474
92	0.117499782
93	0.1170881008
94	0.1166716853
95	0.1163576536
96	0.1160438453
97	0.1156640747
98	0.1153707433
99	0.1150705913
100	0.1146261079
101	0.1142851468
102	0.1139532801
103	0.1136089655
104	0.1133187461
105	0.1129634676
106	0.1127276164
107	0.1124335148
108	0.1120053108
109	0.1116698127
110	0.1113393227
111	0.1110782232
112	0.1107699951
113	0.1104275029
114	0.1101683764
115	0.1098840938
116	0.1095167758
117	0.1093019237
118	0.1090754897
119	0.1089193057
120	0.1086602609
121	0.1084239215
122	0.1081352051
123	0.1076887858
124	0.1074340046
125	0.1071010274
126	0.1069001776
127	0.1065885302
128	0.1062730465
129	0.1059745039
130	0.1057373071
131	0.1055398136
132	0.1052209178
133	0.104940902
134	0.1045949375
135	0.1043141448
136	0.1040162416
137	0.1037082809
138	0.1034315299
139	0.103124588
140	0.1029465637
141	0.1027138304
142	0.1024737297
143	0.1022847508
144	0.1020638317
145	0.1018414881
146	0.1016275343
147	0.1014202671
148	0.1012385952
149	0.1010905957
150	0.1008631817
151	0.1006722238
152	0.1004160312
153	0.1002416047
154	0.0999875592
155	0.09978679895
156	0.09963026477
157	0.09946625241
158	0.09920748279
159	0.09904020805
160	0.09873808553
161	0.09849789788
162	0.09834107027
163	0.09815064314
164	0.09803299194
165	0.09786523879
166	0.09765382812
167	0.09752138011
168	0.09733656679
169	0.09721924256
170	0.09705262296
171	0.09684675993
172	0.09660600309
173	0.09634698076
174	0.09620100825
175	0.09597386809
176	0.09576071394
177	0.09553054355
178	0.09545984647
179	0.09524222913
180	0.09508902189
181	0.09488850943
182	0.09461725025
183	0.09443288053
184	0.09416871084
185	0.09405957675
186	0.09391587077
187	0.0937008759
188	0.09351900762
189	0.09339066552
190	0.09321720742
191	0.09308208147
192	0.09293730901
193	0.09278975991
194	0.09264946697
195	0.09255319784
196	0.09235913117
197	0.09226656875
198	0.0920783432
199	0.09197400603
200	0.09173712481
201	0.09155614189
202	0.09145758451
203	0.09125727161
204	0.09111023964
205	0.09084692629
206	0.09060593792
207	0.09046661502
208	0.0902722898
209	0.0900014179
210	0.08989097668
211	0.08973447659
212	0.08952601343
213	0.08942226993
214	0.08923428552
215	0.08905475783
216	0.08885898256
217	0.08868555406
218	0.08850246835
219	0.08830472007
220	0.0880702976
221	0.08786994749
222	0.08782966197
223	0.08763388075
224	0.08740550383
225	0.08719222828
226	0.08704455029
227	0.08695905271
228	0.08692808244
229	0.08690074095
230	0.0866507148
231	0.08643338971
232	0.08632576352
233	0.08619597361
234	0.08616551675
235	0.08603702441
236	0.0858555627
237	0.08567043608
238	0.08561735647
239	0.0854799517
240	0.08529486033
241	0.08515228163
242	0.08502445555
243	0.08488105514
244	0.08476826596
245	0.08458377487
246	0.08452713819
247	0.08434667889
248	0.08421220724
249	0.08401119193
250	0.08383182439
251	0.08374063653
252	0.08358763756
253	0.08343602101
254	0.08325005815
255	0.08311024855
256	0.0829171366
257	0.082793139
258	0.08265449238
259	0.08245318623
260	0.08224443976
261	0.0821256141
262	0.08200736495
263	0.08185091063
264	0.08169968833
265	0.08163956831
266	0.08150369549
267	0.08135117273
268	0.08122667434
269	0.08107609001
270	0.08095832255
271	0.08082033117
272	0.08072865895
273	0.0807067733
274	0.0806432562
275	0.08053316004
276	0.08051219062
277	0.0803677487
278	0.08020851732
279	0.08006244634
280	0.08002432782
281	0.07987394099
282	0.07973791547
283	0.07958435311
284	0.07947584106
285	0.07926342753
286	0.07904023884
287	0.07892374079
288	0.07876756506
289	0.07861128384
290	0.07847240218
291	0.07836788394
292	0.07825455985
293	0.07808674546
294	0.07796791957
295	0.07782268334
296	0.07769782158
297	0.07752809559
298	0.07737131728
299	0.07725836061
300	0.07711408031
301	0.07696122451
302	0.0768451455
303	0.07670333073
304	0.07652948243
305	0.07642633597
306	0.07627829306
307	0.07626052556
308	0.0761796731
309	0.07610612012
310	0.07598371115
311	0.0758424212
312	0.07573590615
313	0.0755836801
314	0.07543832235
315	0.07533190645
316	0.07522954111
317	0.07510790727
318	0.07498915504
319	0.07489091407
320	0.07482003627
321	0.07467244223
322	0.0745846135
323	0.07448033249
324	0.07445562978
325	0.07435608467
326	0.07426202351
327	0.07410679132
328	0.07402911648
329	0.07401676507
330	0.07391071342
331	0.07380919156
332	0.07373348437
333	0.073601909
334	0.07348942827
335	0.07341582381
336	0.07325503812
337	0.0732419724
338	0.07314691984
339	0.07305225664
340	0.07291189701
341	0.07289960582
342	0.07283437014
343	0.07271937983
344	0.07263927958
345	0.07255522522
346	0.07241258882
347	0.07232237552
348	0.0721990263
349	0.07211264592
350	0.071985492
351	0.0719138247
352	0.07179224588
353	0.07166738618
354	0.07157958277
355	0.07146722199
356	0.07139977985
357	0.07129836769
358	0.0711870823
359	0.07110132886
360	0.07104389871
361	0.07097032915
362	0.070838116
363	0.07067964043
364	0.07061539482
365	0.070528537
366	0.07044723643
367	0.07036653897
368	0.07024900069
369	0.07015530777
370	0.0700602567
371	0.06996831132
372	0.06988617814
373	0.06982840591
374	0.0697066217
375	0.06962724541
376	0.0695366432
377	0.06944548025
378	0.06938529959
379	0.06928116686
380	0.06920381554
381	0.0691327948
382	0.06907626072
383	0.06902088413
384	0.06891392922
385	0.06883222533
386	0.06879676497
387	0.06867636248
388	0.06856661617
389	0.06849817623
390	0.06838467859
391	0.06827241886
392	0.06821515129
393	0.06807244898
394	0.06798265475
395	0.06793341314
396	0.06783724278
397	0.06782681141
398	0.06774255041
399	0.06770893376
400	0.06762889985
401	0.06755521633
402	0.06746729298
403	0.06738805884
404	0.06727605614
405	0.06722421563
406	0.06712938019
407	0.06698585064
408	0.06691152885
409	0.06679903561
410	0.06671705703
411	0.06666834253
412	0.06653819208
413	0.06647366604
414	0.06642262013
415	0.06630343486
416	0.06625081717
417	0.06617237186
418	0.06608107773
419	0.06596120592
420	0.065851477
421	0.06577158503
422	0.06569927226
423	0.06557793384
424	0.06550839039
425	0.06543296338
426	0.06535513716
427	0.06534431776
428	0.06529765897
429	0.06519613819
430	0.06513904475
431	0.06505369377
432	0.06500769054
433	0.06491533221
434	0.06485810914
435	0.0647222913
436	0.06463981901
437	0.06457949031
438	0.0644693927
439	0.06435743234
440	0.06427761517
441	0.0641777354
442	0.06412501493
443	0.06402738183
444	0.06395898292
445	0.0639197837
446	0.06385139836
447	0.06380050226
448	0.06373604754
449	0.06362296276
450	0.063565238
451	0.06350153319
452	0.06341601508
453	0.06332874791
454	0.06325545579
455	0.06320239253
456	0.06308918143
457	0.06298098008
458	0.0629232196
459	0.06288306623
460	0.06279687734
461	0.06273925462
462	0.06266440486
463	0.06259789862
464	0.06254820747
465	0.06245226826
466	0.06240185325
467	0.062334994
468	0.06225274204
469	0.06224584451
470	0.06216777874
471	0.06213867637
472	0.06208838301
473	0.06202320141
474	0.06196642899
475	0.06191600814
476	0.06188108659
477	0.06185962899
478	0.0617628174
479	0.06167960029
480	0.0616424938
481	0.0615369924
482	0.06143575997
483	0.06137404031
484	0.0612623752
485	0.0612138307
486	0.06112033116
487	0.06103824698
488	0.06101024636
489	0.060975072
490	0.06087728484
491	0.06078483226
492	0.06071765978
493	0.06060861129
494	0.06052901026
495	0.06042055586
496	0.06030976321
497	0.06025517582
498	0.06018438894
499	0.06012126883
500	0.06001215644
501	0.05992735443
502	0.05985638645
503	0.05978255402
504	0.05974205328
505	0.05967078282
506	0.05961615261
507	0.0595494099
508	0.05946567873
509	0.05939297756
510	0.05932060471
511	0.05927399568
512	0.05922779664
513	0.0592040917
514	0.05919322922
515	0.05914380578
516	0.05906650637
517	0.05897819374
518	0.05892228657
519	0.05883065984
520	0.05874889669
521	0.0587393124
522	0.058653378
523	0.05856558504
524	0.05848589365
525	0.05838317506
526	0.05834677929
527	0.05828681117
528	0.05817954049
529	0.05811022525
530	0.05803377305
531	0.05796612144
532	0.05795654233
533	0.05789526957
534	0.0578098615
535	0.05777550397
536	0.05769650218
537	0.05762426419
538	0.05761544385
539	0.05752425319
540	0.05744074983
541	0.05737985024
542	0.0572879376
543	0.05722940469
544	0.05722159086
545	0.0571338188
546	0.05706189117
547	0.05695856461
548	0.05695305586
549	0.05688834951
550	0.05682992346
551	0.05681945759
552	0.05676098389
553	0.0566769143
554	0.0565825825
555	0.05651000292
556	0.05642107349
557	0.05636334454
558	0.05627140663
559	0.05621165858
560	0.05613455043
561	0.05612700748
562	0.0560177597
563	0.0559499715
564	0.05589087919
565	0.05581816005
566	0.05571314819
567	0.05566566225
568	0.05558883705
569	0.05553523011
570	0.05545081731
571	0.0553740586
572	0.05532250471
